season,week,n_contestants,scoring_method,eliminated_name,is_correct,elimination_probability,is_top2,margin,kendall_tau
1,1,6,rank,Trista Sutter,True,0.9999999999999998,True,3.0,0.6943650748294137
1,2,6,rank,Trista Sutter,True,0.9999999999999993,True,3.0,0.7453559924999299
1,3,5,rank,Evander Holyfield,True,1.0,True,5.0,0.6324555320336759
1,4,4,rank,Rachel Hunter,True,0.9999877116885464,True,1.0,0.912870929175277
2,1,10,rank,Kenny Mayne,True,1.0,True,4.0,0.6590909090909091
2,2,9,rank,Tatum O'Neal,True,1.0,True,3.5,0.47079190906919977
2,3,8,rank,Giselle Fernandez,True,0.9999999999999063,True,2.5,0.5185185185185185
2,4,7,rank,Master P,True,1.0,True,4.0,0.7807200583588265
2,5,6,rank,Tia Carrere,True,0.9999999999999998,True,3.0,0.6900655593423541
2,6,5,rank,George Hamilton,True,0.9999999999999065,True,2.5,0.7378647873726218
2,7,4,rank,Lisa Rinna,True,0.9999999999621552,True,2.0,0.9128709291752769
3,1,11,percent,Tucker Carlson,True,0.20762700082910607,True,0.041012572707414346,0.8073734277593311
3,2,10,percent,Shanna Moakler,True,0.17385448782284046,True,0.006778593831050672,0.8613973647824797
3,3,9,percent,Harry Hamlin,True,0.2204460058828507,True,0.033529478760346926,0.8838834764831843
3,4,8,percent,Vivica A. Fox,True,0.23875844690055598,True,0.02046423035580447,0.836501912571304
3,5,7,percent,Willa Ford,True,0.261318190826777,True,0.022469727180097238,0.5821817364274594
3,7,5,percent,Jerry Springer,True,0.717427304051912,True,0.18790753036607438,0.5270462766947298
3,8,4,percent,Monique Coleman,True,0.7871434817746877,True,0.18533427872639463,0.9128709291752769
4,1,11,percent,Paulina Porizkova,True,0.14364238110192482,True,0.007502545154978474,0.8807710121010884
4,2,11,percent,Paulina Porizkova,True,0.1529313845900211,True,0.023107348606713318,0.8118990304530631
4,3,10,percent,Shandi Finnessey,True,0.17493116700111463,True,0.017822769865422583,0.6287460834286768
4,4,9,percent,Leeza Gibbons,True,0.2690963708369344,True,0.0485860173970282,0.9296696802013682
4,5,8,percent,Clyde Drexler,True,0.39694880233034957,True,0.09080089346096751,0.9285714285714285
4,6,7,percent,Heather Mills,True,0.341755836955627,True,0.04799100546452434,0.7807200583588265
4,7,6,percent,John Ratzenberger,True,0.5100604371968348,True,0.08880056365440109,0.9309493362512627
4,8,5,percent,Billy Ray Cyrus,True,0.7148612924028244,True,0.15602463544560347,0.7999999999999999
4,9,4,percent,Ian Ziering,True,0.7887145715653335,True,0.19253328260336977,0.9128709291752769
5,1,12,percent,Josie Maran,True,0.163771566772497,True,0.04503836086132468,0.6141131705360953
5,2,11,percent,Albert Reed,True,0.1555709899353399,True,0.01090457308468451,0.866828394595597
5,3,10,percent,Wayne Newton,True,0.22921719784039168,True,0.048496304219333236,0.8613973647824797
5,4,9,percent,Floyd Mayweather Jr. ,True,0.2034140206208178,True,0.02319456992311289,0.669438681395203
5,5,8,percent,Mark Cuban,True,0.3174994656614031,True,0.06802003655021441,0.836501912571304
5,6,7,percent,Sabrina Bryan,True,0.3066285639766986,True,0.04769706858355571,0.9047619047619049
5,7,6,percent,Jane Seymour,True,0.46023802668342984,True,0.09996553878622469,0.8280786712108251
5,8,5,percent,Cameron Mathison,True,0.5827340753306807,True,0.122413444219311,0.6
5,9,4,percent,Jennie Garth,True,0.7501834219346702,True,0.16123219292626711,0.5477225575051662
6,1,12,percent,Penn Jillette,True,0.16850242993330664,True,0.025263435570371057,0.8352932739179446
6,2,12,percent,Monica Seles,True,0.15808505710029844,True,0.015049629054821836,0.7909115788387002
6,3,10,percent,Steve Guttenberg,True,0.1874336024614977,True,0.03416026814999759,0.7360699299651778
6,4,9,percent,Adam Carolla,True,0.2947363490150024,True,0.06764438964005151,0.8249579113843054
6,5,8,percent,Priscilla Presley,True,0.32425294987484926,True,0.07699045985022782,0.8153742483272113
6,6,7,percent,Marlee Matlin,True,0.41598147007141706,True,0.10420498500271341,0.8783100656536799
6,7,6,percent,Shannon Elizabeth,True,0.4192985691238379,True,0.09610608154837566,0.9999999999999999
6,8,5,percent,Mario,True,0.5537278546796438,True,0.11961706246809456,0.9999999999999999
6,9,4,percent,Marissa Jaret Winokur,True,0.7843286814878196,True,0.1943239293784355,0.6666666666666669
7,1,13,percent,Ted McGinley,False,0.11150680339391983,True,0.012141188084231286,0.9091675835657292
7,2,11,percent,Kim Kardashian,True,0.15942250059514135,True,0.015441075705591889,0.8874245216579991
7,3,9,percent,Cloris Leachman,True,0.2998271199192978,True,0.06828243018499436,0.8003267306650412
7,4,9,percent,Rocco DiSpirito,True,0.26943478268594795,True,0.07451011387675663,0.5892556509887896
7,5,8,percent,Toni Braxton,True,0.25771259106758143,True,0.03365357464450208,0.7637626158259733
7,6,7,percent,Cloris Leachman,True,0.5115752798576465,True,0.12676550809377768,0.8783100656536799
7,7,6,percent,Susan Lucci,True,0.4496458171483575,True,0.09310988206868162,0.8280786712108251
7,8,5,percent,Maurice Greene,True,0.6056385591836279,True,0.13850645728043415,0.39999999999999997
7,9,4,percent,Cody Linley,True,0.8044977232930306,True,0.18689581534005312,0.9128709291752769
8,1,13,percent,Ty Murray,True,0.13451921708195536,True,0.002837411032222764,0.8759854036172219
8,2,13,percent,Belinda Carlisle,True,0.11895648646550006,True,0.008730492337433837,0.8950468150375157
8,3,12,percent,Denise Richards,False,0.14747286164573312,True,0.01767289880006717,0.8441622892989752
8,4,11,percent,Steve Wozniak,True,0.2505219371366594,True,0.05742805284605407,0.8705196492275474
8,5,9,percent,David Alan Grier,True,0.21048779511906296,True,0.029209392190075845,0.760638829255665
8,6,8,percent,Steve-O,True,0.3655790978823608,True,0.08049002855440263,0.7637626158259733
8,7,7,percent,Lawrence Taylor,True,0.4256780282358919,True,0.10699909682928432,0.39036002917941326
8,8,6,percent,Chuck Wicks,True,0.4014331242325022,True,0.0799634892532361,0.9660917830792959
8,9,5,percent,Lil' Kim,True,0.5382987208599614,True,0.09607062215800105,0.7378647873726218
8,10,4,percent,Ty Murray,True,0.8313219456026734,True,0.20727602928867023,1.0
9,1,16,percent,Ashley Hamiliton,True,0.09403077955906664,True,0.003909095116964384,0.8523889672954192
9,2,14,percent,Kathy Ireland,True,0.11763383931221123,True,0.013328950126109393,0.7500915695015926
9,3,13,percent,Debi Mazar,True,0.12212794564020024,True,5.686519060409123e-05,0.8572151502191162
9,4,11,percent,Chuck Liddell,True,0.18414926077288749,True,0.03453207978747386,0.9349469900084573
9,5,10,percent,Natalie Coughlin,True,0.1863505968489164,True,0.03799076977177909,0.6900655593423543
9,6,9,percent,Melissa Joan Hart,True,0.22328515137021784,True,0.03847225924032174,0.8888888888888888
9,7,7,percent,Mark Dacascos,True,0.37492116310784424,True,0.08243092867050988,0.4879500364742666
9,8,5,percent,Aaron Carter,True,0.5620851250162184,True,0.11809061793012549,0.6
9,9,4,percent,Joanna Krupa,True,0.7625355124315074,True,0.16851766910861166,0.6666666666666669
10,1,11,percent,Shannen Doherty,False,0.1399754258369552,True,0.0057958275703306195,0.7964328705698838
10,2,11,percent,Shannen Doherty,False,0.12167586125983941,True,0.035912507982659825,0.8181818181818182
10,3,10,percent,Buzz Aldrin,True,0.2842645958493849,True,0.07283036256742793,0.7071067811865475
10,4,9,percent,Aiden Turner,True,0.23613379076669344,True,0.04951886587030074,0.7777777777777778
10,5,8,percent,Kate Gosselin,True,0.35487823276071984,True,0.08580034921957924,0.6910233190806424
10,6,7,percent,Jake Pavelka,True,0.37649684882046636,True,0.08050068789988687,0.7142857142857143
10,7,6,percent,Pamela Anderson,True,0.4540724468814372,True,0.07989990623437299,0.6900655593423543
10,8,5,percent,Niecy Nash,True,0.6608455627834119,True,0.14375162356358484,0.7378647873726218
10,9,4,percent,Chad Ochocinco,True,0.7921161108944278,True,0.165987579736126,0.9128709291752769
11,1,12,percent,David Hasselhoff,True,0.1533092922564626,True,0.03214821198426637,0.9066928292470475
11,2,11,percent,Michael Bolton,True,0.22155166683279087,True,0.06279971352011773,0.6864930642568264
11,3,10,percent,Margaret Cho,True,0.21619529538459475,True,0.05001294076085078,0.7542472332656507
11,4,9,percent,The Situation,True,0.2806072634237638,True,0.05695327492521385,0.9444444444444445
11,5,8,percent,Florence Henderson,True,0.2858750799295594,True,0.04655574197358875,0.836501912571304
11,6,7,percent,Audrina Patridge,True,0.2614392986891157,True,0.027348919312876113,1.0
11,7,6,percent,Rick Fox,True,0.42159099782918646,True,0.09175498163053286,0.8280786712108251
11,8,5,percent,Kurt Warner,True,0.612489322295409,True,0.11328014131966252,0.7378647873726218
11,9,4,percent,Brandy,True,0.7242739933844319,True,0.14769920999982378,0.6666666666666669
12,1,11,percent,Mike Catherwood,True,0.19461796053991662,True,0.033063012682259724,0.8227533512074424
12,2,11,percent,Mike Catherwood,True,0.1606620797902142,True,0.025871019582147853,0.8771855821059449
12,3,10,percent,Wendy Williams,True,0.23957581433547448,True,0.07158471419738237,0.6922443782381184
12,4,9,percent,Sugar Ray Leonard,True,0.2299036910814248,True,0.04133682058340349,0.8249579113843054
12,5,8,percent,Petra Nemcova,True,0.27895515000552507,True,0.06422145678995375,0.6943650748294137
12,6,7,percent,Chris Jericho,True,0.3777680324868908,True,0.0898428946706748,0.8783100656536799
12,7,6,percent,Kendra Wilkinson,True,0.43917236889158695,True,0.08575527170300201,0.35805743701971643
12,8,5,percent,Romeo,True,0.527013783351668,True,0.10258674140956736,0.9999999999999999
12,9,4,percent,Ralph Macchio,True,0.8377049902105042,True,0.18502494888955806,1.0
13,1,12,percent,Metta World Peace (Ron),True,0.1447069340381124,True,0.027025146634236427,0.8219277191853159
13,2,11,percent,Elisabetta Canalis,True,0.12008588823680062,True,0.005397151206877671,0.8009085749662975
13,3,10,percent,Kristin Cavallari,True,0.15967245051351708,True,0.01270857466317088,0.8613973647824797
13,4,9,percent,Chynna Phillips,True,0.20636667566773037,True,0.03753105018319458,0.8003267306650412
13,5,8,percent,Carson Kressley,True,0.31949446187265446,True,0.06887660546402141,0.8153742483272113
13,6,7,percent,Chaz Bono,True,0.41923149817045713,True,0.10253622781916383,0.7807200583588265
13,7,6,percent,David Arquette,True,0.41878174906515536,True,0.0731199801249724,0.6
13,8,5,percent,Nancy Grace,True,0.7069642731545197,True,0.16856023745540274,0.9486832980505137
13,9,4,percent,Hope Solo,True,0.8412365624209723,True,0.2199629149504893,0.6666666666666669
14,1,12,percent,Martina Navratilova,True,0.14599178082552344,True,0.03490235610566668,0.7662817146030789
14,2,12,percent,Martina Navratilova,True,0.16105626275832902,True,0.031284644813374285,0.8839599998785472
14,3,11,percent,Jack Wagner,True,0.15183551779566504,True,0.03329505614668571,0.7395739969534469
14,4,10,percent,Sherri Sheperd,True,0.18197103129061204,True,0.024917723232399047,0.8613973647824797
14,5,9,percent,Gavin DeGraw,True,0.24339748795387053,True,0.04499948971749396,0.9146591207600471
14,6,8,percent,Gladys Knight,True,0.3575656557098878,True,0.08071469518608967,0.8571428571428571
14,7,7,percent,Jaleel White,True,0.3092622669068031,True,0.06868075302199758,0.7807200583588265
14,8,6,percent,Roshon Fegan,True,0.3940621991530417,True,0.07714454292324752,0.8280786712108251
14,9,4,percent,Maria Menounos,True,0.7676609135586376,True,0.17163392524525062,0.3333333333333334
15,1,13,percent,Pamela Anderson,True,0.14435077460791737,True,0.03935111167110561,0.4738483138433907
15,2,12,percent,Joey Fatone,True,0.11206893059685326,True,0.00073027969561551,0.8702543635872545
15,3,11,percent,Helio Castroneves,True,0.1516762719235904,True,0.02974502120681541,0.5339390499775317
15,4,9,percent,Bristol Palin,True,0.23788047016675906,True,0.03949830094805096,0.5352643613280604
15,5,8,percent,Emmitt Smith,True,0.24986855739223782,True,0.04858045576926148,0.5640760748177661
15,6,8,percent,Sabrina Bryan,True,0.21084737425118766,True,0.034832201699327936,0.6182840223353118
15,7,7,percent,Melissa Rycroft,True,0.25110804583981244,True,0.021162038012388307,0.8095238095238096
15,8,7,percent,Gilles Marini,True,0.2790935953403878,True,0.03683748847441029,0.6190476190476191
15,9,5,percent,Apolo Anton Ohno,True,0.5467796037964046,True,0.11892643733294467,0.7999999999999999
16,1,12,percent,Alexandra Raisman,False,0.10751657436521471,False,0.02048540167469684,0.7722522721128167
16,2,12,percent,Wynonna Judd,True,0.12399154104351744,True,0.0009100073857266078,0.8668137748205085
16,3,11,percent,Wynonna Judd,True,0.1846855282884042,True,0.019579610580934048,0.8390470785361213
16,4,10,percent,Lisa Vanderpump,True,0.21974645998005143,True,0.04927315117196002,0.7956600627155523
16,5,9,percent,D. L. Hughley,True,0.2836560251533472,True,0.04262649764856907,0.9296696802013682
16,6,8,percent,Victor Ortiz,True,0.28830413097103513,True,0.051581908551452615,0.836501912571304
16,7,7,percent,Andy Dick,True,0.5328637541057456,True,0.13080290536956835,0.8095238095238096
16,8,6,percent,Sean Lowe,True,0.546865762196834,True,0.1284568187471229,0.6
16,9,5,percent,Ingo Rademacher,True,0.6353371991574921,True,0.1474531813496044,0.31622776601683794
16,10,4,percent,Alexandra Raisman,True,0.7801451859346833,True,0.18445432159385572,0.9128709291752769
17,1,12,percent,Leah Remini,False,0.1167386375148356,False,0.017601366224768766,0.6358308771056217
17,2,12,percent,Keyshawn Johnson,True,0.1435691906438209,True,0.014558764669734936,0.8441622892989752
17,3,11,percent,Bill Nye,True,0.21195930824581702,True,0.03258991084797605,0.8009085749662975
17,4,10,percent,Valerie Harper,True,0.2353489375588801,True,0.05138080502589233,0.7811265775524029
17,5,9,percent,Christina Milian,False,0.15199816920007417,True,0.001426972178986352,0.5303300858899106
